transaction_time,account_number,transaction_type,amount
2024-04-18 19:09:39,941396469,Deposit,7432.09
2024-04-18 19:09:39,346661506,Deposit,9160.63
2024-04-18 19:09:39,852993653,Deposit,2944.82
2024-04-18 19:09:39,707703825,Withdrawal,9013.62
2024-04-18 19:09:39,436593626,Withdrawal,6835.7
2024-04-18 19:09:39,216091412,Deposit,3676.57
2024-04-18 19:09:39,595026823,Transfer,9688.52
2024-04-18 19:09:39,376399485,Deposit,9886.91
2024-04-18 19:09:39,209692719,Deposit,2797.21
2024-04-18 19:09:39,915097630,Deposit,1040.78
2024-04-18 19:09:39,931063947,Deposit,8741.67
2024-04-18 19:09:39,374346986,Withdrawal,3444.52
2024-04-18 19:09:39,134038962,Withdrawal,2808.13
2024-04-18 19:09:39,931063947,Transfer,3789.38
2024-04-18 19:09:39,629397293,Deposit,8538.81
2024-04-18 19:09:39,282345131,Deposit,3861.4
2024-04-18 19:09:39,589190867,Withdrawal,9320.9
2024-04-18 19:09:39,415648548,Deposit,5725.26
2024-04-18 19:09:39,316448825,Withdrawal,6983.88
2024-04-18 19:09:39,316448825,Deposit,2855.05
2024-04-18 19:09:39,304860183,Withdrawal,4828.42
2024-04-18 19:09:39,134038962,Transfer,3770.5
2024-04-18 19:09:39,152794222,Deposit,9610.13
2024-04-18 19:09:39,754797626,Deposit,8159.79
2024-04-18 19:09:39,557711729,Transfer,8875.93
2024-04-18 19:09:39,134038962,Transfer,2210.03
2024-04-18 19:09:39,707703825,Deposit,443.64
2024-04-18 19:09:39,121716918,Withdrawal,9683.74
2024-04-18 19:09:39,931063947,Withdrawal,6573.3
2024-04-18 19:09:39,754797626,Deposit,3294.93
2024-04-18 19:09:39,421642361,Transfer,6910.38
2024-04-18 19:09:39,623866651,Transfer,2240.82
2024-04-18 19:09:39,808445705,Withdrawal,8497.62
2024-04-18 19:09:39,707703825,Withdrawal,2556.34
2024-04-18 19:09:39,557711729,Transfer,3533.01
2024-04-18 19:09:39,282338897,Deposit,7109.02
2024-04-18 19:09:39,125692092,Deposit,2722.59
2024-04-18 19:09:39,488118742,Withdrawal,4482.59
2024-04-18 19:09:39,134038962,Transfer,1363.31
2024-04-18 19:09:39,902914777,Deposit,2746.3
2024-04-18 19:09:39,188945741,Transfer,2901.59
2024-04-18 19:09:39,629397293,Withdrawal,9311.05
2024-04-18 19:09:39,244288632,Withdrawal,1223.42
2024-04-18 19:09:39,620495354,Deposit,8414.34
2024-04-18 19:09:39,525145042,Transfer,5269.28
2024-04-18 19:09:39,197666054,Deposit,4960.09
2024-04-18 19:09:39,310150600,Transfer,8724.52
2024-04-18 19:09:39,209692719,Deposit,8070.55
2024-04-18 19:09:39,595026823,Withdrawal,1249.91
2024-04-18 19:09:39,112511530,Transfer,9120.45
2024-04-18 19:09:39,282345131,Withdrawal,9869.15
2024-04-18 19:09:39,430099433,Withdrawal,124.24
2024-04-18 19:09:39,324606607,Deposit,8851.71
2024-04-18 19:09:39,808445705,Transfer,9094.53
2024-04-18 19:09:39,931063947,Deposit,5652.47
2024-04-18 19:09:39,516217395,Transfer,9917.25
2024-04-18 19:09:39,532767904,Deposit,5833.39
2024-04-18 19:09:39,915097630,Withdrawal,1243.95
2024-04-18 19:09:39,279857919,Transfer,5680.73
2024-04-18 19:09:39,374346986,Transfer,6686.33
2024-04-18 19:09:39,707703825,Withdrawal,23.02
2024-04-18 19:09:39,565996550,Transfer,5683.76
2024-04-18 19:09:39,707703825,Transfer,3683.98
2024-04-18 19:09:39,376399485,Deposit,7570.88
2024-04-18 19:09:39,915097630,Transfer,957.29
2024-04-18 19:09:39,916650668,Deposit,699.08
2024-04-18 19:09:39,213174731,Withdrawal,1160.99
2024-04-18 19:09:39,203931273,Deposit,1771.19
2024-04-18 19:09:39,475219621,Transfer,4937.48
2024-04-18 19:09:39,853811855,Deposit,2599.0
2024-04-18 19:09:39,421642361,Deposit,1976.74
2024-04-18 19:09:39,209692719,Deposit,6728.06
2024-04-18 19:09:39,409743350,Transfer,1881.58
2024-04-18 19:09:39,409743350,Transfer,210.28
2024-04-18 19:09:39,310150600,Withdrawal,2592.75
2024-04-18 19:09:39,475219621,Withdrawal,3147.73
2024-04-18 19:09:39,525145042,Deposit,4998.5
2024-04-18 19:09:39,488118742,Deposit,5622.54
2024-04-18 19:09:39,310150600,Transfer,5793.99
2024-04-18 19:09:39,623866651,Withdrawal,4750.27
2024-04-18 19:09:39,421642361,Deposit,6804.78
2024-04-18 19:09:39,236479147,Withdrawal,919.0
2024-04-18 19:09:39,707703825,Deposit,1493.8
2024-04-18 19:09:39,282338897,Withdrawal,756.61
2024-04-18 19:09:39,236479147,Transfer,1621.98
2024-04-18 19:09:39,808445705,Withdrawal,4298.14
2024-04-18 19:09:39,173798948,Transfer,3112.9
2024-04-18 19:09:39,421642361,Deposit,4709.73
2024-04-18 19:09:39,398713549,Withdrawal,6232.34
2024-04-18 19:09:39,525145042,Deposit,7291.3
2024-04-18 19:09:39,173798948,Deposit,3462.85
2024-04-18 19:09:39,676617495,Transfer,8749.8
2024-04-18 19:09:39,296653310,Transfer,6027.33
2024-04-18 19:09:39,922837825,Transfer,4300.86
2024-04-18 19:09:39,807920112,Deposit,947.98
2024-04-18 19:09:39,346661506,Deposit,2370.5
2024-04-18 19:09:39,719007655,Transfer,6498.83
2024-04-18 19:09:39,188945741,Deposit,8667.47
2024-04-18 19:09:39,134038962,Withdrawal,4891.08
2024-04-18 19:09:39,917000885,Deposit,3757.91
